Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000168488,ATXN2L,0.2517630433474397,-0.16102934578931816,0.5837780137884009,0.28179551190735,0.16301988582310134,0.5938213998945311,0.27145425325457573,0.1286051414189846,1.0
ENSG00000260570,AC133550.2,0.0005695996455824428,-0.48458668426133755,1.0,0.0,0.6744533511222919,1.0,0.0,4.2771564920687295,1.0
ENSG00000178952,TUFM,1.1779320670644917,0.44532285779430913,0.005186782560798388,0.8823721966598898,-0.39703037852148326,0.019039171806728632,0.6956015239648503,-0.6580787292337502,1.0
ENSG00000178188,SH2B1,0.12474232238255498,-0.33258359081628885,0.2431397688286374,0.15498753154904252,0.3046967311443147,0.3173022536163183,0.16965890828410984,0.46980157001112577,1.0
ENSG00000261766,AC133550.3,0.0005695996455824428,-0.48458668426133755,1.0,0.0,0.6744533511222919,1.0,0.0,4.2771564920687295,1.0
ENSG00000196296,ATP2A1,0.003417597873494657,-0.2621942629248908,1.0,0.003522443898841875,0.4520609297858451,1.0,0.0,2.1072314906264173,1.0
ENSG00000260442,ATP2A1-AS1,0.11904632592673055,1.1421959921544445,0.0034280973694794043,0.051075436533207196,-1.1601230396703364,0.004795982126168228,0.06786356331364393,-0.3017822210246561,1.0
ENSG00000177548,RABEP2,0.05980796278615649,-0.779034042726594,0.011058693567972261,0.10215087306641439,0.7497414784265288,0.017226547099526535,0.1017953449704659,0.7269594095082503,1.0
ENSG00000177455,CD19,0.0017087989367473284,-4.694040049890289,6.933336010275503e-16,0.05635910238147,3.7188474704807453,2.166733683626206e-12,0.06786356331364393,2.42915958551378,0.854866017203039
ENSG00000176953,NFATC2IP,0.10195833655925726,-0.6365897777063885,0.011443794459692668,0.15498753154904252,0.5727579540529413,0.03335976906676001,0.1866247991125208,0.7960298023321135,1.0
ENSG00000260367,AC109460.1,0.0017087989367473284,-1.4845866842613384,0.35673107797229736,0.005283665848262813,1.6744533511222919,0.2995209399176527,0.0,2.4698015700111258,1.0
ENSG00000169682,SPNS1,0.24264944901812063,0.08358057391683937,0.8545000859995228,0.21663029977877535,-0.17548135967415046,0.5924845166026125,0.3393178165682197,0.5661861064354683,1.0
ENSG00000213658,LAT,0.035884777671693895,-1.960320115227737,9.953677038159773e-13,0.15146508765020064,2.0730027276125673,5.5717590067636934e-14,0.033931781656821966,-0.36669969770599486,1.0
ENSG00000260517,AC009093.2,0.0,-2.4845866842613376,0.4299332778358309,0.0017612219494209376,2.674453351122292,0.40451361916683715,0.0,4.2771564920687295,1.0
ENSG00000259807,AC009093.1,0.0005695996455824428,-0.48458668426133755,1.0,0.0,0.6744533511222919,1.0,0.0,4.2771564920687295,1.0
ENSG00000277999,AC009093.6,0.0011391992911648856,0.10037581645981852,1.0,0.0,0.0894908504011358,1.0,0.0,3.6921939913475734,1.0
