Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000110768,GTF2H1,0.10255046847683531,-0.7811149346652253,0.0032355186479941034,0.17831347045603654,0.7811149346652253,0.0032355186479941034
ENSG00000134333,LDHA,2.115516922288264,-1.0679298421312577,2.4045019556446598e-14,4.433086626700391,1.0679298421312577,2.4045019556446598e-14
ENSG00000166796,LDHC,0.001654039814142505,-1.3524024984893046,0.2816545281012277,0.007875042859257135,1.3524024984893046,0.2816545281012277
ENSG00000074319,TSG101,0.2530680915638033,-0.6340525824904459,0.0013137635748459778,0.3943146460242322,0.6340525824904459,0.0013137635748459778
ENSG00000151116,UEVLD,0.05458331386670267,-0.30056356696968667,0.49301004813785126,0.06862537348781217,0.30056356696968667,0.49301004813785126
ENSG00000247595,SPTY2D1OS,0.031426756468707594,-0.48113581261150795,0.36220597856467424,0.045562747971416274,0.48113581261150795,0.36220597856467424
ENSG00000179119,SPTY2D1,0.07277775182227023,0.41698457336927897,0.30735700118166076,0.05512530001479994,-0.41698457336927897,0.30735700118166076
ENSG00000151117,TMEM86A,0.0330807962828501,0.5892535152798901,0.4213865870580541,0.022500122455020383,-0.5892535152798901,0.4213865870580541
ENSG00000179057,IGSF22,0.004962119442427515,3.554488097119213,0.04798554395794599,0.0,-3.554488097119213,0.04798554395794599
ENSG00000254966,AC103974.1,0.0,-0.4455119028807868,0.7611807255081324,0.0016875091841265287,0.4455119028807868,0.761180725508133
ENSG00000177054,ZDHHC13,0.02646463702628008,-0.2887863991933326,0.9856311899543901,0.03375018368253058,0.2887863991933326,0.9856311899543901
ENSG00000255308,CSRP3-AS1,0.0,0.5544880971192132,1.0,0.0005625030613755096,-0.5544880971192132,1.0
ENSG00000129173,E2F8,0.00992423888485503,-0.3385966989642739,0.7446722841910168,0.01406257653438774,0.3385966989642739,0.7446722841910168
ENSG00000255160,AC009652.1,0.0,0.5544880971192132,1.0,0.0005625030613755096,-0.5544880971192132,1.0
ENSG00000166833,NAV2,0.14224742401625542,-0.44136025961031944,0.23681973787055738,0.19462605923592632,0.44136025961031944,0.23681973787055738
ENSG00000270607,AC009549.1,0.00992423888485503,-1.06442173552528,0.12797065998902957,0.023625128577771402,1.06442173552528,0.12797065998902957
ENSG00000109854,HTATIP2,0.14720954345868295,-0.21104664924376326,0.5028325857438763,0.17156343371953042,0.21104664924376326,0.5028325857438763
ENSG00000185238,PRMT3,0.03804291572527762,-0.5187608849114254,0.25588984844769075,0.05625030613755096,0.5187608849114254,0.25588984844769075
